Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre
Cellular,NL,32003620,2763,10100571,2749,09-10-04,David R. Ellis,Kim Basinger,6.3,Action
Central Intelligence,WB (NL),127440871,3508,35535250,3508,6/17/2016,Rawson Marshall Thurber,Dwayne Johnson,6.3,Action
Changeling,Uni.,35739802,1896,489015,15,10/24/2008, Clint Eastwood,Angelina Jolie,7.5,Crime
Changing Lanes,Par.,66818548,2642,17128062,2613,04-12-02,Roger Michell,Ben Affleck,6.1,Crime
Chappie,Sony,31569268,3201,13346782,3201,03-06-15,Neill Blomkamp,Sharlto Copley,6.7,Crime
Charlie and the Chocolate Factory,WB,206459076,3790,56178450,3770,7/15/2005,Tim Burton,Johnny Depp,6.9,Adventure
Charlie St. Cloud,Uni.,31162545,2725,12381585,2718,7/30/2010, Burr Steers," 
Zac Efron",6.9,Drama
Cheaper by the Dozen,Fox,138614544,3307,27557647,3298,12/25/2003,Shawn Levy,Steve Martin,6.2,Comedy
Cheaper by the Dozen 2,Fox,82571173,3211,9309387,3175,12/21/2005,Adam Shankman,Steve Martin,5.9,Comedy
Chef,ORF,31424003,1298,204961,6,05-09-14,Jon Favreau,Jon Favreau,7.1,Comedy
Chicago,Mira.,170687518,2701,2074929,77,12/27/2002,Rob Marshall,Renée Zellweger,7.1,Comedy
Chicken Little,BV,135386665,3658,40049778,3654,11-04-05,Mark Dindal,Zach Braff,5.8,Animation
Chicken Run,DW,106834564,2953,17506162,2491,6/23/2000,Peter Lord,Mel Gibson,6.6,Animation
Children of Men,Uni.,35552383,1524,501003,16,12/25/2006,Alfonso Cuarón,Julianne Moore,7.6,Drama
Chimpanzee,BV,28972764,1567,10673748,1563,4/20/2012,Alastair Fothergill,Tim Allen,7.2,Documentary
Chocolat,Mira.,71509363,1928,157624,8,12/15/2000,Lasse Hallström,Juliette Binoche,6.9,Comedy
Christmas with the Kranks,SonR,73780539,3416,21570867,3393,11/24/2004,Joe Roth,Tim Allen,5.6,Comedy
Cinderella Man,Uni.,61649911,2820,18320205,2812,06-03-05,Ron Howard,Russell Crowe,7.5,Romance
Click,SonR,137355633,3764,40011365,3749,6/23/2006,Frank Coraci,Adam Sandler,6.1,Comedy
Clockstoppers,Par.,36989956,2563,10108333,2540,3/29/2002,Jonathan Frakes,Jesse Bradford,5,Adventure
Closer,Sony,33987757,1098,7707972,476,12-03-04,Mike Nichols,Natalie Portman,6.8,Drama
Cloudy with a Chance of Meatballs,Sony,124870275,3119,30304648,3119,9/18/2009, Phil Lord," 
Bill Hader",6.5,Animation
Cloudy with a Chance of Meatballs 2,Sony,119793567,4001,34017930,4001,9/27/2013,Cody Cameron,Bill Hader,6.4,Animation
Cloverfield,Par.,80048433,3411,40058229,3411,1/18/2008, Matt Reeves," 
Lizzy Caplan",6.5,Action
Coach Carter,Par.,67264877,2574,24182961,2524,1/14/2005,Thomas Carter,Samuel L. Jackson,7.4,Drama
Coco,BV,209726015,3987,50802605,3987,11/22/2017,Lee Unkrich,Anthony Gonzalez,4.4,Comedy
Cold Mountain,Mira.,95636509,2802,14574213,2163,12/25/2003,Anthony Minghella,Jude Law,6.9,Adventure
Collateral,DW,101005703,3205,24701458,3188,08-06-04,Michael Mann,Tom Cruise,7.1,Drama
Collateral Beauty,WB (NL),31016021,3028,7102085,3028,12/16/2016,David Frankel,Will Smith,7.2,Drama
Collateral Damage,WB,40077257,2824,15058432,2824,02-08-02,Andrew Davis,Arnold Schwarzenegger,5.5,Action
College Road Trip,BV,45610425,2706,13601419,2706,03-07-08, Roger Kumble, Martin Lawrence,5.1,Comedy
Colombiana,TriS,36665854,2614,10408176,2614,8/26/2011,Olivier Megaton,Zoe Saldana,6.5,Action
Confessions of a Shopaholic,BV,44277350,2534,15066360,2507,2/13/2009, P. J. Hogan," 
Isla Fisher",6.3,Comedy
Confessions of a Teenage Drama Queen,BV,29331068,2503,9350572,2503,2/20/2004,Sara Sugarman,Lindsay Lohan,5.3,Comedy
Constantine,WB,75976178,3006,29769098,3006,2/18/2005,Francis Lawrence,Keanu Reeves,6.8,Drama
Contagion,WB,75658097,3222,22403596,3222,09-09-11,Steven Soderbergh,Matt Damon,3.8,Drama
Contraband,Uni.,66528000,2870,24349815,2863,1/13/2012,Baltasar Kormákur,Mark Wahlberg,6.2,Thriller
Cop Out,WB,44875481,3150,18211126,3150,2/26/2010,Kevin Smith," 
Bruce Willis",5.4,Action
Coraline,Focus,75286229,2320,16849640,2299,02-06-09, Henry Selick," 
Dakota Fanning",7.5,Animation
Corky Romano,BV,23980304,2094,9023173,2062,10-12-01,Rob Pritts,Chris Kattan,4.2,Action
Couples Retreat,Uni.,109204945,3074,34286740,3000,10-09-09,Peter Billingsley,Vince Vaughn,5.4,Comedy
Courageous,TriS,34522221,1214,9112839,1161,9/30/2011,Alex Kendrick,Alex Kendrick,7,Drama
Cowboys & Aliens,Uni.,100240551,3754,36431290,3750,7/29/2011,Jon Favreau,Daniel Craig,5.5,Action
Coyote Ugly,BV,60786269,2664,17319282,2653,08-04-00,David McNally,Piper Perabo,6,Comedy
Cradle 2 the Grave,WB,34712347,2625,16521468,2625,2/28/2003,Andrzej Bartkowiak,Jet Li,5.8,Action
Crank,LGF,27838408,2515,10457367,2515,09-01-06,Mark Neveldine,Jason Statham,6.6,Action
Crash,Lions,54580300,1905,9107071,1864,05-06-05,Paul Haggis,Don Cheadle,7.3,Drama
Crazy Heart,FoxS,39464306,1361,82664,4,12/16/2009,Scott Cooper, Jeff Bridges,6.9,Drama
Crazy Rich Asians,WB,174532921,3865,26510140,3384,8/15/2018,Jon M. Chu,Constance Wu,7.1,Comedy
Creed,WB (NL),109767581,3502,29632823,3404,11/25/2015,Ryan Coogler,Michael B. Jordan,7.3,Drama
Creed II,MGM,115715889,3752,35574710,3441,11/21/2018,Steven Caple Jr.,Michael B. Jordan,6.7,Drama
Crimson Peak,Uni.,31090320,2991,13143310,2984,10/16/2015,Guillermo del Toro,Mia Wasikowska,6.5,Drama
Crocodile Dundee in Los Angeles,Par.,25635682,2166,7714362,2123,4/20/2001,Simon Wincer,Paul Hogan,4.9,Adventure
Crossroads,Par.,37191304,2713,14527187,2380,2/15/2002,Tamra Davis,Britney Spears,4.9,Action
Cruel Intentions,Sony,38328567,2312,13020565,2312,03-05-99,Roger Kumble,Sarah Michelle Gellar,6.6,Drama
Curious George,Uni.,58360760,2609,14703405,2566,02-10-06,Matthew OCallaghan,Will Ferrell,6,Adventure
Daddy Day Care,SonR,104297061,3472,27623580,3370,05-09-03,Steve Carr,Eddie Murphy,5.8,Comedy
Dallas Buyers Club,Focus,27298285,1110,260865,9,11-01-13,Jean-Marc Vallée,Matthew McConaughey,7.9,Drama
Dan in Real Life,BV,47642963,1941,11809445,1921,10/26/2007, Peter Hedges,Steve Carell,6.4,Comedy
Dance Flick,Par.,25662155,2459,10643536,2450,5/22/2009,Damien Dante Wayans," 
Shoshana Bush",4.6,Action
Daredevil,Fox,102543518,3474,40310419,3471,2/14/2003,Mark Steven Johnson,Ben Affleck,5.1,Fantasy
Dark Shadows,WB,79727149,3755,29685274,3755,05-11-12,Tim Burton,Johnny Depp,5.9,Comedy
Darkest Hour,Focus,56468410,1733,175006,4,11/22/2017,Joe Wright,Gary Oldman,7.4,Drama
Darkness Falls,SonR,32551396,2865,12024917,2837,1/24/2003,Jonathan Liebesman,Chaney Kley,4,Drama
Date Movie,Fox,48548426,2898,19076261,2896,2/17/2006,Aaron Seltzer,Alyson Hannigan,3.8,Comedy
Date Night,Fox,98711404,3380,25207599,3374,04-09-10,Shawn Levy," 
Steve Carell",6,Comedy
Dawn of the Dead,Uni.,59020957,2748,26722575,2745,3/19/2004,Zack Snyder,Sarah Polley,6.9,Fantasy
Dawn of the Planet of the Apes,Fox,208545589,3969,72611427,3967,07-11-14,Matt Reeves,Gary Oldman,7.3,Science Fiction
Daybreakers,LGF,30101577,2523,15146692,2523,01-08-10, The Spierig Brothers, The Spierig Brothers,6.2,Action
Deadpool,Fox,363070709,3856,132434639,3558,02-12-16,Tim Miller,Ryan Reynolds,7.6,Action
Deadpool 2,Fox,318491426,4349,125507153,4349,5/18/2018,David Leitch,Ryan Reynolds,7.5,Action
Dear John,SGem,80014842,3062,30468614,2969,02-05-10, Lasse Hallström, Channing Tatum,6.8,Drama
Death Race,Uni.,36316032,2586,12621090,2532,8/22/2008, Paul W. S. Anderson,Jason Statham,6.1,Action
Deck the Halls,Fox,35093569,3205,12001256,3205,11/22/2006,John Whitesell,Matthew Broderick,5,TV Movie
Deep Blue Sea,WB,73648142,2901,19107643,2854,7/30/1999,Renny Harlin,Saffron Burrows,5.8,Action
Deepwater Horizon,LG/S,61433527,3403,20223544,3259,9/30/2016,Peter Berg,Mark Wahlberg,6.7,Drama
Defiance,ParV,28644813,1793,123513,2,12/31/2008, Edward Zwick,Daniel Craig,6.8,Action
Deliver Us From Evil,SGem,30577122,3049,9740471,3049,07-02-14,Scott Derrickson,Eric Bana,7.5,Crime
Delivery Man,BV,30664106,3036,7944977,3036,11/22/2013,Ken Scott,Vince Vaughn,6.2,Comedy
Den of Thieves,STX,44947622,2432,15206108,2432,1/19/2018,Christian Gudegast,Gerard Butler,6.5,Action
Derailed,Wein.,36024076,2447,12211986,2443,11-11-05,Mikael Håfström,Clive Owen,4.1,Action
Despicable Me,Uni.,251513985,3602,56397125,3476,07-09-10,Pierre Coffin,Steve Carell,7.2,Animation
Despicable Me 2,Uni.,368061265,4003,83517315,3997,07-03-13,Pierre Coffin,Steve Carell,6.9,Animation
Despicable Me 3,Uni.,264624300,4535,72434025,4529,6/30/2017,Kyle Balda,Steve Carell,6.3,Action
Deuce Bigalow: Male Gigolo,BV,65538755,2162,12224016,2154,12-10-99,Mike Mitchell,Rob Schneider,5.5,Comedy
Devil,Uni.,33601190,2811,12289375,2809,9/17/2010,John Erick Dowdle,Chris Messina,5.9,Horror
Diary of a Wimpy Kid,Fox,64003625,3083,22126166,3077,3/19/2010,Thor Freudenthal," 
Zachary Gordon",6,Comedy
Diary of a Wimpy Kid: Dog Days,Fox,49008662,3401,14623599,3391,08-03-12,David Bowers,Zachary Gordon,6.2,Comedy
Diary of a Wimpy Kid: Rodrick Rules,Fox,52698535,3169,23751502,3167,3/25/2011,David Bowers,Zachary Gordon,6.4,Family
Did You Hear About the Morgans?,Sony,29580087,2718,6616571,2718,12/18/2009, Marc Lawrence, Hugh Grant,5.3,Comedy
Die Another Day,MGM,160942139,3377,47072040,3314,11/22/2002,Lee Tamahori,Pierce Brosnan,5.9,Adventure
Dinner for Schmucks,P/DW,73026337,3046,23527839,2911,7/30/2010,Jay Roach," 
Steve Carell",5.6,Comedy
Dinosaur,BV,137748063,3319,38854851,3257,5/19/2000,Eric Leighton,D.B. Sweeney,6.4,Animation
Dirty Grandpa,LGF,35593113,2912,11111875,2912,1/22/2016,Dan Mazer,Robert De Niro,5.8,Comedy
District 9,TriS,115646235,3180,37354308,3049,8/14/2009, Neill Blomkamp," 
Sharlto Copley",7.3,Science Fiction
Disturbia,P/DW,80209692,3132,22224982,2925,4/13/2007,D. J. Caruso,Shia LaBeouf,6.6,Thriller
Divergent,LG/S,150947895,3936,54607747,3936,3/21/2014,Neil Burger,Shailene Woodley,6.9,Action
Divine Secrets of the Ya-Ya Sisterhood,WB,69599016,2792,16167412,2507,06-07-02,Callie Khouri,Sandra Bullock,6.1,Comedy
Django Unchained,Wein.,162805434,3012,30122888,3010,12/25/2012,Quentin Tarantino,Jamie Foxx,8,Drama
Doctor Strange,BV,232641920,3882,85058311,3882,11-04-16,Scott Derrickson,Benedict Cumberbatch,6.4,Action
DodgeBall: A True Underdog Story,Fox,114326736,3020,30070196,2694,6/18/2004,Rawson Marshall Thurber,Ben Stiller,6.2,Comedy
Dogma,Lions,30652890,1292,8669945,1269,11-12-99,Kevin Smith,Ben Affleck,6.9,Fantasy
Dolphin Tale,WB,72286779,3515,19152401,3507,9/23/2011,Charles Martin Smith,Morgan Freeman,6.8,Drama
Dolphin Tale 2,WB,42024533,3656,15873397,3656,09-12-14,Charles Martin Smith,Morgan Freeman,6.7,Family
Domestic Disturbance,Par.,45246095,2910,14033112,2910,11-02-01,Harold Becker,John Travolta,5.6,Mystery
Doom,Uni.,28212337,3044,15488870,3044,10/21/2005,Andrzej Bartkowiak,Karl Urban,5,Action
Double Jeopardy,Par.,116741558,3002,23162542,2547,9/24/1999,Bruce Beresford,Tommy Lee Jones,6.4,Crime
Double Take,BV,29831583,1631,11736236,1631,01-12-01,George Gallo,Orlando Jones,5.6,Adventure
Doubt,Mira.,33446470,1287,507226,15,12-12-08,John Patrick Shanley," 
Meryl Streep",5,Drama
Down to Earth,Par.,64186502,2521,17268883,2521,2/16/2001,Chris Weitz,Chris Rock,5.2,Fantasy
Down to You,Mira.,20069008,2003,7602507,1971,1/21/2000,Kris Isacsson,Freddie Prinze Jr.,5,Comedy
Downsizing,Par.,24449754,2668,4954287,2668,12/22/2017,Alexander Payne,Matt Damon,5.1,Comedy
Dr. Dolittle 2,Fox,112952899,3053,25037039,3049,6/22/2001,Steve Carr,Eddie Murphy,5.1,Comedy
Dracula 2000,Mira.,33022767,2204,8636567,2204,12/22/2000,Patrick Lussier,Gerard Butler,4.7,Thriller
Dracula Untold,Uni.,56280355,2900,23514615,2885,10-10-14,Gary Shore,Luke Evans,6.2,Horror
Draft Day,LG/S,28842237,2781,9783603,2781,04-11-14,Ivan Reitman,Kevin Costner,6.6,Drama
Drag Me to Hell,Uni.,42100625,2510,15825480,2508,5/29/2009, Sam Raimi," 
Alison Lohman",6.2,Horror
Dragonfly,Uni.,30323400,2507,10216025,2507,2/22/2002,Tom Shadyac,Kevin Costner,6.4,Drama
Dreamcatcher,WB,33715436,2945,15027423,2945,3/21/2003,Lawrence Kasdan,Morgan Freeman,5.4,Drama
Dreamer: Inspired by a True Story,DW,32751093,2735,9178233,2007,10/21/2005,John Gatins,Kurt Russell,6.5,Drama
Dreamgirls,P/DW,103365956,2797,378950,3,12/15/2006,Bill Condon,Beyoncé,6.7,Drama
Drillbit Taylor,Par.,32862104,3061,10309986,3056,3/21/2008,Steven Brill," 
Owen Wilson",5.6,Comedy
Drive Me Crazy,Fox,17845337,2233,6846112,2222,10-01-99,John Schultz,Melissa Joan Hart,5.9,Drama
Driven,WB,32720065,2905,12174504,2905,4/27/2001,Renny Harlin,Sylvester Stallone,4.6,Drama
Drumline,Fox,56399184,1837,12604705,1836,12/13/2002,Charles Stone III,Nick Cannon,6.2,Drama
Due Date,WB,100539043,3365,32689406,3355,11-05-10, Todd Phillips,Robert Downey Jr.,6.3,Comedy
Dumb and Dumber To,Uni.,86208010,3188,36111775,3154,11/14/2014,Bobby Farrelly,Jim Carrey,5.5,Comedy
Dumb and Dumberer: When Harry Met Lloyd,NL,26276465,2609,10845064,2609,6/13/2003,Troy Miller,Derek Richardson,4.1,Comedy
Dunkirk,WB,188045546,4014,50513488,3720,7/21/2017,Christopher Nolan,Fionn Whitehead,7.4,War
Duplicity,Uni.,40572825,2579,13965110,2574,3/20/2009,Tony Gilroy,Julia Roberts,5.9,Romance
Eagle Eye,P/DW,101440743,3614,29150721,3510,9/26/2008, D. J. Caruso," 
Shia LaBeouf",6.3,Mystery
Earth to Echo,Rela.,38934842,3230,8364658,3230,07-02-14,Dave Green,Teo Halm,5.8,Family
Easy A,SGem,58401464,2974,17734040,2856,9/17/2010,Will Gluck," 
Emma Stone",6.8,Comedy
Eat Pray Love,Sony,80574010,3108,23104523,3082,8/13/2010,Ryan Murphy," 
Julia Roberts",6,Drama
Edge of Darkness,WB,43313890,3066,17214384,3066,1/29/2010, Martin Campbell," 
Mel Gibson",6.3,Crime
Edge of Tomorrow,WB,100206256,3505,28760246,3490,06-06-14,Doug Liman,Tom Cruise,7.6,Action
EDtv,Uni.,22431897,2631,8311290,2627,3/26/1999,Ron Howard,Matthew McConaughey,5.9,Comedy
Eight Below,BV,81612565,3122,20188176,3066,2/17/2006,Frank Marshall,Paul Walker,6.9,Adventure
Election,Par.,14902041,827,119080,6,4/23/1999,Alexander Payne,Matthew Broderick,6.8,Comedy
Elf,NL,173398518,3381,31113501,3337,11-07-03,Jon Favreau,Will Ferrell,6.6,Comedy
Elizabethtown,Par.,26850426,2517,10618711,2517,10/14/2005,Cameron Crowe,Orlando Bloom,6.1,Comedy
Ella Enchanted,Mira.,22918387,2149,6169030,1931,04-09-04,Tommy OHaver,Anne Hathaway,6.2,Family
Elysium,TriS,93050117,3284,29807393,3284,08-09-13,Neill Blomkamp,Matt Damon,3.8,Animation
Employee of the Month,LGF,28444855,2579,11407751,2579,10-06-06,Greg Coolidge,Jessica Simpson,5.9,Action
Enchanted,BV,127807262,3730,34440317,3730,11/21/2007,Kevin Lima,Amy Adams,6.7,Comedy
End of Days,Uni.,66889043,2652,20523595,2593,11/24/1999,Peter Hyams,Arnold Schwarzenegger,5.7,Action
End of Watch,ORF,41003371,2780,13152683,2730,9/21/2012,David Ayer,Jake Gyllenhaal,7.3,Crime
Enemy at the Gates,Par.,51401758,1724,13810266,1509,3/16/2001,Jean-Jacques Annaud,Jude Law,7.3,War
Enough,Sony,40007742,2623,14009653,2623,5/24/2002,Michael Apted,Jennifer Lopez,6.4,Drama
Entourage,WB,32363404,3108,10283250,3108,06-03-15,Doug Ellin,Adrian Grenier,6.2,Comedy
Entrapment,Fox,87704396,2879,20145595,2814,4/30/1999,Jon Amiel,Sean Connery,6.1,Romance
Epic,Fox,107518682,3894,33531068,3882,5/24/2013,Chris Wedge,Amanda Seyfried,6.4,Animation
Epic Movie,Fox,39739367,2840,18612544,2801,1/26/2007,Jason Friedberg,Kal Penn,3.3,Action
Eragon,Fox,75030163,3030,23239907,3020,12/15/2006,Stefen Fangmeier,Ed Speleers,5,Fantasy
Erin Brockovich,Uni.,125595205,3070,28138465,2848,3/17/2000,Steven Soderbergh,Julia Roberts,7.3,Drama
Escape From Planet Earth,Wein.,57012977,3353,15891055,3288,2/15/2013,Cal Brunker,Brendan Fraser,5.7,Animation
Eternal Sunshine of the Spotless Mind,Focus,34400301,1357,8175198,1353,3/19/2004,Michel Gondry,Jim Carrey,8.1,Science Fiction
Evan Almighty,Uni.,100462298,3636,31192615,3604,6/22/2007,Tom Shadyac,Steve Carell,5.4,Fantasy
Evolution,DW,38345494,2613,13408351,2611,06-08-01,Ivan Reitman,David Duchovny,5.8,Action
Ex Machina,A24,25442958,2004,237264,4,04-10-15,Alex Garland,Alicia Vikander,7.6,Drama
Exit Wounds,WB,51758599,2830,18485586,2830,3/16/2001,Andrzej Bartkowiak,Steven Seagal,5.4,Action
Exodus: Gods and Kings,Fox,65014513,3503,24115934,3503,12-12-14,Ridley Scott,Christian Bale,5.7,Adventure
Exorcist: The Beginning,WB,41821986,2813,18054001,2803,8/20/2004,Renny Harlin,Stellan Skarsgård,4.9,Horror
Extremely Loud & Incredibly Close,WB,31847881,2630,72348,6,12/25/2011,Stephen Daldry,Thomas Horn,7,Drama
Eyes Wide Shut,WB,55691208,2483,21706163,2411,7/16/1999,Stanley Kubrick ,Tom Cruise,7.3,Mystery
Fahrenheit 9/11,Lions,119194771,2011,23920637,868,6/23/2004,Michael Moore,Michael Moore,7,Documentary
Failure to Launch,Par.,88715192,3202,24411322,3057,03-10-06,Tom Dey,Matthew McConaughey,5.6,Comedy
Fantastic Beasts and Where To Find Them,WB,234037575,4144,74403387,4144,11/18/2016,David Yates,Eddie Redmayne,7.4,Adventure
Fantastic Beasts: The Crimes of Grindelwald,WB,159555901,4163,62163104,4163,11/16/2018,David Yates,Eddie Redmayne,6.9,Family
Fantastic Four,Fox,56117548,4004,25685737,3995,08-07-15,Josh Trank,Miles Teller,5.7,Action
Fantastic Four: Rise of the Silver Surfer,Fox,131921738,3963,58051684,3959,6/15/2007,Tim Story,Ioan Gruffudd,5.5,Adventure
Fast & Furious 6,Uni.,238679850,3771,97375245,3658,5/24/2013,Justin Lin,Vin Diesel,6.7,Action
Fast Five,Uni.,209837675,3793,86198765,3644,4/29/2011,Justin Lin,Vin Diesel,7.2,Action
Fat Albert,Fox,48116322,2744,10021510,2674,12/25/2004,Joel Zwick,Kenan Thompson,4.4,Comedy
Fences,Par.,57682904,2368,129462,4,12/16/2016,Denzel Washington,Denzel Washington,6.8,Drama
Ferdinand,Fox,84410380,3630,13401586,3621,12/15/2017,Carlos Saldanha,John Cena,7.1,Animation
Fever Pitch,Fox,42071069,3275,12400125,3267,04-08-05,Bobby Farrelly,Drew Barrymore,5.9,Comedy
Fifty Shades Darker,Uni.,114581250,3714,46607250,3710,02-10-17,James Foley,Dakota Johnson,6.1,Drama
Fifty Shades Freed,Uni.,100407760,3768,38560195,3768,02-09-18,James Foley,Dakota Johnson,6.1,Drama
Fifty Shades of Grey,Uni.,166167230,3655,85171450,3646,2/13/2015,Sam Taylor-Johnson,Dakota Johnson,5.4,Drama
Fight Club,Fox,37030102,1966,11035485,1963,10/15/1999,David Fincher,Brad Pitt,8.8,Drama
Final Destination,NL,53331147,2587,10015822,2587,3/17/2000,James Wong,Devon Sawa,6.5,Horror
Final Destination 2,NL,46961214,2834,16017141,2834,1/31/2003,David R. Ellis,A.J. Cook,6.1,Horror
Final Destination 3,NL,54098051,2880,19173094,2880,02-10-06,James Wong,Mary Elizabeth Winstead,6,Horror
Final Destination 5,WB (NL),42587643,3155,18031396,3155,08-12-11,Steven Quale,Nicholas DAgosto,6,Horror
Final Fantasy: The Spirits Within,Sony,32131830,2649,11408853,2649,07-11-01,Hironobu Sakaguchi,Alec Baldwin,6,Adventure
Finding Dory,BV,486295561,4305,135060273,4305,6/17/2016,Andrew Stanton,Ellen DeGeneres,7,Adventure
Finding Forrester,Sony,51804714,2002,701207,200,12/22/2000,Gus Van Sant,Sean Connery,7.1,Drama
Finding Nemo,BV,339714978,3425,70251710,3374,5/30/2003,Andrew Stanton,Albert Brooks,7.8,Animation
Finding Neverland,Mira.,51680613,1411,220524,8,11-12-04,Marc Forster,Johnny Depp,7.3,Drama
Fireproof,Gold.,33456317,905,6836036,839,9/26/2008, Alex Kendrick," 
Kirk Cameron",7.1,Drama
Firewall,WB,48751189,2840,13635463,2840,02-10-06,Richard Loncraine,Harrison Ford,5.7,Thriller
First Man,Uni.,44936545,3640,16006065,3640,10-12-18,Damien Chazelle,Ryan Gosling,7.4,Documentary
First Sunday,SGem,37931869,2213,17714821,2213,01-11-08, David E. Talbert, Ice Cube,5.2,Action
Fist Fight,WB (NL),32187017,3185,12201873,3185,2/17/2017,Richie Keen,Ice Cube,6,Comedy
Flags of Our Fathers,P/DW,33602376,2375,10245190,1876,10/20/2006,Clint Eastwood,Ryan Phillippe,6.8,War
Flight,Par.,93772375,2638,24900566,1884,11-02-12,Robert Zemeckis,Denzel Washington,6.7,Drama
Flightplan,BV,89707299,3424,24629938,3424,9/23/2005,Robert Schwentke,Jodie Foster,6.3,Thriller
Florence Foster Jenkins,Par.,27383770,1528,6601313,1528,08-12-16,Natalie Dormer,Meryl Streep,6.7,Comedy
Flushed Away,P/DW,64665672,3707,18814323,3707,11-03-06,David Bowers,Hugh Jackman,6.1,Adventure
For Colored Girls,LGF,37729698,2127,19497324,2127,11-05-10,Tyler Perry,Janet Jackson,6.8,Drama
For Love of the Game,Uni.,35188640,2933,13041685,2829,9/17/1999,Sam Raimi,Kevin Costner,6.4,Drama
Forces of Nature,DW,52888180,2335,13510728,2058,3/19/1999,Bronwen Hughes,Sandra Bullock,5.4,Romance
Forgetting Sarah Marshall,Uni.,63172463,2872,17725330,2798,4/18/2008, Nicholas Stoller,Jason Segel,6.5,Comedy
Four Brothers,Par.,74494381,2649,21176925,2533,08-12-05,John Singleton,Mark Wahlberg,6.7,Action
Four Christmases,WB (NL),120146040,3540,31069826,3310,11/26/2008,Seth Gordon," 
Vince Vaughn",5.6,Comedy
Fracture,NL,39015018,2443,11014657,2443,4/20/2007,Gregory Hoblit," 
Anthony Hopkins",7.3,Thriller
Frankenweenie,BV,35291068,3005,11412213,3005,10-05-12,Tim Burton,Winona Ryder,6.8,Animation
Freaky Friday,BV,110230332,3067,22203007,2954,08-06-03,Mark Waters,Jamie Lee Curtis,6.2,Comedy
Fred Claus,WB,72006777,3603,18515473,3603,11-09-07,David Dobkin,Vince Vaughn,5.5,Action
Freddy Vs. Jason,NL,82622655,3014,36428066,3014,8/15/2003,Ronny Yu,Robert Englund,5.8,Horror
Free Birds,Rela.,55750480,3736,15805237,3736,11-01-13,Jimmy Hayward,Woody Harrelson,5.8,Animation
Freedom Writers,Par.,36605602,2286,9405582,1360,01-05-07,Richard LaGravenese, Hilary Swank,7.7,Crime
Frequency,NL,45010278,2631,9025584,2621,4/28/2000,Gregory Hoblit,Dennis Quaid,7.1,Crime
Frida,Mira.,25885000,794,205996,5,10/25/2002,Julie Taymor,Salma Hayek,7.5,Drama
Friday After Next,NL,33253609,1621,13010767,1616,11/22/2002,Marcus Raboy,Ice Cube,6.1,Comedy
Friday Night Lights,Uni.,61255921,3004,20269025,2667,10-08-04,Peter Berg,Billy Bob Thornton,6.9,Drama
Friends with Benefits,SGem,55802754,2926,18622150,2926,7/22/2011,Will Gluck,Mila Kunis,6.6,Romance
From Hell,Fox,31602566,2334,11014818,2305,10/19/2001,Albert Hughes,Johnny Depp,6.6,Horror
Frozen,BV,400738009,3742,243390,1,11/22/2013,Chris Buck,Kristen Bell,6,Thriller
Fun with Dick and Jane,Sony,110332737,3239,14383515,3056,12/21/2005,Dean Parisot,Jim Carrey,6,Comedy
Funny People,Uni.,51855045,3008,22657780,3007,7/31/2009, Judd Apatow," 
Adam Sandler",5.7,Comedy
Furious 7,Uni.,353007020,4022,147187040,4004,04-03-15,James Wan,Vin Diesel,7.3,Action
G.I. Joe: Retaliation,Par.,122523060,3734,40501814,3719,3/28/2013,Jon M. Chu,Dwayne Johnson,5.5,Adventure
G.I. Joe: The Rise of Cobra,Par.,150201498,4007,54713046,4007,08-07-09,Stephen Sommers,Adewale Akinnuoye-Agbaje,5.7,Adventure
Galaxy Quest,DW,71583916,2450,7012630,2412,12/25/1999,Dean Parisot,Tim Allen,7,Comedy
Game Night,WB (NL),69179066,3502,17005332,3488,2/23/2018,John Francis Daley,Jason Bateman,6.9,Mystery
Gangs of New York,Mira.,77812000,2340,9496870,1504,12/20/2002,Martin Scorsese,Leonardo DiCaprio,7.2,Drama
Gangster Squad,WB,46000903,3103,17070347,3103,01-11-13,Ruben Fleischer,Sean Penn,6.3,Crime
Garden State,FoxS,26782316,813,201115,9,7/28/2004,Zach Braff,Zach Braff,7.2,Comedy
Garfield: A Tail of Two Kitties,Fox,28426747,2981,7288977,2946,6/16/2006,Tim Hill,Breckin Meyer,5.3,Animation
Geostorm,WB,33700160,3246,13707376,3246,10/20/2017,Dean Devlin,Gerard Butler,5.8,Action
Get Hard,WB,90411453,3212,33803253,3175,3/27/2015,Etan Cohen,Will Ferrell,6,Comedy
Get Him to the Greek,Uni.,60974475,2702,17570955,2697,06-04-10, Nicholas Stoller," 
Jonah Hill",5.9,Comedy
Get On Up,Uni.,30703100,2469,13585915,2468,08-01-14,Tate Taylor,Chadwick Boseman,6.7,Drama
Get Out,Uni.,176040665,3143,33377060,2781,2/24/2017,Jordan Peele,Daniel Kaluuya,5.7,Comedy
Get Smart,WB,130319208,3915,38683480,3911,6/20/2008,Peter Segal," 
Steve Carell",6.1,Action
G-Force,BV,119436770,3697,31706934,3697,7/24/2009,Hoyt H. Yeatman Jr.,Sam Rockwell,5.2,Fantasy
Ghost Rider,Sony,115802596,3620,45388836,3619,2/16/2007,Mark Steven Johnson,Nicolas Cage,5.4,Thriller
